MOSTYPE,MAANTHUI,MGEMOMV,MGEMLEEF,MOSHOOFD,MGODRK,MGODPR,MGODOV,MGODGE,MRELGE,MRELSA,MRELOV,MFALLEEN,MFGEKIND,MFWEKIND,MOPLHOOG,MOPLMIDD,MOPLLAAG,MBERHOOG,MBERZELF,MBERBOER,MBERMIDD,MBERARBG,MBERARBO,MSKA,MSKB1,MSKB2,MSKC,MSKD,MHHUUR,MHKOOP,MAUT1,MAUT2,MAUT0,MZFONDS,MZPART,MINKM30,MINK3045,MINK4575,MINK7512,MINK123M,MINKGEM,MKOOPKLA,PWAPART,PWABEDR,PWALAND,PPERSAUT,PBESAUT,PMOTSCO,PVRAAUT,PAANHANG,PTRACTOR,PWERKT,PBROM,PLEVEN,PPERSONG,PGEZONG,PWAOREG,PBRAND,PZEILPL,PPLEZIER,PFIETS,PINBOED,PBYSTAND,AWAPART,AWABEDR,AWALAND,APERSAUT,ABESAUT,AMOTSCO,AVRAAUT,AAANHANG,ATRACTOR,AWERKT,ABROM,ALEVEN,APERSONG,AGEZONG,AWAOREG,ABRAND,AZEILPL,APLEZIER,AFIETS,AINBOED,ABYSTAND,CARAVAN
10,1,4,2,3,0,5,0,4,9,0,0,0,3,6,0,4,5,0,0,0,4,5,0,0,0,4,5,0,3,6,7,1,1,5,4,112,7,0,0,0,3,8,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1,2,3,1,0,6,0,3,9,0,0,0,5,4,0,9,0,0,0,0,5,0,4,0,558,6,3,0,5,4,7,2,0,7,2,0,9,0,0,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,731,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,1,2,3,3,1,3,1,5,4,2,4,4,2,3,1,3,6,1,0,1,3,3,3,1,1,3,3,3,7,2,6,0,3,8,1,5,4,1,0,0,2,6,2,0,0,6,5,0,0,0,0,0,0,0,0,935,0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,1,2,3,8,1,5,2,1,6,0,3,236,4,3,0,3,6,1,0,0,4,2,4,1,0,4,175,1,4,5,7,2,1,9,0,1,7,2,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,1,3,3,9,0,9,0,0,9,0,0,0,3,6,0,3,6,4,0,0,0,3,3,0,3,0,6,0,0,9,6,2,2,6,3,3,4,2,0,0,3,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,1,2,4,9,1,3,1,6,7,476,2,5,3,1,2,4,4,3,0,0,4,3,0,0,4,0,3,3,2,7,5,1,3,7,2,2,5,2,2,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11,1,3,2,3,1,5,2,3,8,1,1,1,4,4,1,6,3,2,0,0,3,5,1,2,1,2,5,1,1,8,8,0,1,7,2,2,5,3,0,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,1,2,4,8,0,7,2,0,5,2,2,2,6,2,0,3,6,5,0,0,1,0,4,2,0,2,4,2,4,5,4,4,2,3,6,3,6,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1,2,3,8,1,5,1,3,5,1,4,3,3,4,2,2,6,1,1,1,2,4,2,1,1,2,5,1,4,5,6,1,2,7,2,3,5,2,0,0,3,5,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
41,1,3,3,10,0,7,1,2,8,1,1,1,5,3,0,3,6,2,0,2,3,2,3,1,2,131,4,1,3,6,6,2,2,6,3,2,7,1,1,0,3,4,2,3,3,6,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1,3,3,7,0,4,1,5,5,1,4,3,2,4,0,1,8,1,0,0,1,0,8,0,0,1,5,3,8,1,6,1,3,7,2,7,2,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,1,3,3,3,1,4,1,5,7,1,1,0,5,4,0,8,1,1,1,0,4,2,3,0,0,5,4,1,0,9,6,2,2,8,1,0,8,0,1,0,3,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,2,0,0,6,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18,1,2,3,4,4,5,0,0,3,2,5,1,7,1,8,1,1,2,0,0,6,2,0,1,1,7,1,0,1,8,3,0,6,6,3,2,0,7,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,1,3,2,8,1,5,1,4,6,1,3,2,1,6,3,3,4,2,0,0,5,1,2,2,2,3,4,0,1,8,7,2,0,7,2,63,4,4,1,0,4,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,846,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,3,3,1,1,6,0,3,9,0,0,0,4,5,8,1,0,9,0,0,0,0,0,9,0,0,188,0,0,9,7,2,0,2,7,0,1,3,5,0,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,2,4,7,1,4,2,3,6,2,1,2,7,1,2,3,5,3,1,0,2,2,2,2,1,1,4,2,7,2,7,2,1,5,4,3,2,4,1,0,3,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1,2,3,1,0,4,0,5,5,2,3,2,4,4,3,3,4,6,0,0,2,0,2,3,2,2,2,2,4,5,5,2,3,6,3,3,3,3,1,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
38,1,4,3,9,0,1,3,6,9,0,0,0,2,7,0,4,5,0,0,0,2,2,5,0,0,3,6,0,3,6,8,1,0,9,0,0,9,0,0,0,3,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,1,2,4,8,1,6,0,2,7,0,2,0,5,4,0,0,9,5,0,0,0,0,4,0,0,0,5,4,9,0,6,0,3,7,2,0,4,5,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1,2,2,5,2,4,4,0,5,0,4,3,4,2,2,3,5,3,0,0,1,2,5,2,0,3,5,0,3,7,5,2,2,7,2,1,5,4,929,0,4,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2,2,4,6,0,4,2,3,5,0,4,4,2,4,0,0,9,0,0,2,2,3,3,0,0,2,3,5,9,0,7,0,2,9,0,2,7,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,2,2,0,7,2,0,7,2,0,0,6,3,2,7,0,2,0,0,7,0,0,2,3,4,0,772,0,9,7,2,0,7,2,0,6,3,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,3,3,2,2,4,1,3,6,1,2,2,3,4,3,4,3,3,1,0,4,1,2,3,2,3,2,1,3,6,6,2,2,6,3,2,3,4,2,1,5,7,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,878,0
38,1,3,3,9,1,5,1,3,7,1,2,2,3,5,2,4,4,3,1,2,2,2,1,3,2,3,3,1,3,6,6,2,1,5,4,3,2,3,2,1,4,3,2,0,0,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
20,1,2,3,5,1,4,2,3,6,2,2,2,4,3,1,2,6,1,0,0,3,2,4,1,1,1,6,2,9,0,7,2,2,8,1,3,3,3,1,0,4,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,3,4,8,0,7,0,2,6,0,3,2,2,5,0,5,5,3,0,5,1,0,1,3,1,5,1,0,0,9,3,3,3,2,7,2,5,3,0,0,3,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,624,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,1,1,3,5,1,4,1,4,158,2,5,5,3,1,1,6,3,1,0,0,4,1,4,1,2,5,2,1,576,1,4,0,5,8,1,7,2,1,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,4,2,8,0,6,2,1,6,1,2,0,1,8,1,1,8,1,0,0,2,2,5,1,0,1,6,3,8,1,6,1,2,8,1,4,4,2,0,1,3,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,1,2,3,5,0,2,2,5,5,2,3,4,4,2,3,5,2,2,1,2,6,1,1,3,4,1,2,0,8,76,4,2,4,8,1,2,5,1,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,4,3,2,1,5,1,3,7,1,2,0,2,7,3,4,2,2,1,0,4,3,1,2,3,2,3,1,1,8,7,0,2,5,4,1,3,4,2,1,6,7,2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5,1,2,3,1,0,5,1,4,5,1,4,3,2,5,2,3,4,3,1,0,1,4,2,3,1,2,4,1,3,6,6,1,3,6,3,3,5,1,2,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,1,3,4,8,4,3,0,2,6,0,3,3,4,3,0,7,2,64,0,2,4,0,2,2,1,5,2,0,2,7,222,3,0,3,6,0,7,2,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,1,2,3,8,0,9,0,0,9,0,0,0,5,4,0,5,4,0,0,0,1,8,1,0,0,1,8,0,1,8,5,0,4,9,0,1,4,0,5,0,6,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
35,1,2,4,8,0,5,2,2,7,0,2,2,5,3,0,0,9,0,0,0,2,7,0,0,0,0,9,0,5,4,9,0,0,9,0,5,4,0,0,0,3,5,2,621,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1,2,4,5,0,5,2,2,9,0,0,0,6,3,7,0,2,3,5,0,0,0,2,6,0,2,2,0,0,9,9,0,0,2,7,0,2,5,2,0,6,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,3,3,8,0,6,1,2,7,1,2,1,4,4,1,2,6,1,0,1,3,2,4,1,1,2,6,1,5,4,5,2,3,6,3,2,5,2,1,0,3,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,1,2,3,6,4,2,1,3,5,0,4,4,3,3,9,0,0,3,1,0,3,80,3,0,9,0,0,0,0,9,6,1,3,2,7,0,0,0,0,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,2,3,7,1,5,1,2,6,2,2,1,7,2,1,4,5,1,0,0,4,3,3,1,3,1,3,3,1,8,8,0,1,6,3,1,5,4,0,0,4,3,2,0,0,6,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
23,1,1,4,5,2,2,2,4,0,0,9,9,0,0,2,5,3,0,1,0,5,2,2,1,4,2,3,0,9,0,2,0,7,5,4,4,2,4,0,0,4,3,2,0,0,6,0,247,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3,1,1,4,1,1,5,0,3,5,0,4,7,2,1,2,4,4,6,0,0,2,2,0,2,0,0,7,0,1,8,5,0,4,2,7,4,2,4,0,0,3,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,1,4,2,1,1,4,1,4,7,1,2,2,4,4,5,4,0,0,5,4,0,0,0,9,0,0,0,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,1,2,2,9,0,4,1,5,6,0,3,3,3,4,0,1,8,0,0,0,4,0,5,0,1,2,6,2,9,0,5,0,4,9,0,4,4,2,0,0,3,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,2,5,2,9,1,5,0,3,7,1,2,0,0,9,0,4,5,0,0,0,6,407,0,0,4,0,5,0,2,7,6,2,2,6,3,0,4,5,0,0,4,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,1,2,2,9,0,3,2,5,5,3,2,1,6,2,1,4,4,1,1,1,6,1,2,1,2,2,5,0,8,1,5,1,4,8,1,6,3,1,1,0,2,5,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
22,2,3,3,5,0,5,0,4,7,0,2,0,2,7,2,1,7,0,2,0,1,1,5,2,0,0,7,0,4,5,6,1,2,7,2,0,6,3,0,0,4,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,1,2,4,7,2,6,2,2,2,0,7,4,3,2,0,4,6,1,0,1,1,1,7,0,1,1,7,1,1,8,5,0,4,9,0,4,3,3,0,0,3,2,2,0,0,6,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
24,1,2,3,5,3,1,1,5,3,2,5,5,4,2,0,8,1,1,0,0,5,2,2,1,2,6,2,0,2,7,5,2,2,8,1,4,5,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,870,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,1,2,3,5,2,3,1,5,4,2,5,4,4,2,4,3,3,4,1,0,2,1,3,3,1,3,3,1,8,98,5,1,4,3,6,5,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,1,3,3,3,0,6,0,3,649,0,3,2,4,4,4,3,2,7,0,0,0,2,0,7,0,0,2,0,0,9,9,0,0,4,5,0,5,4,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,1,2,3,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,1,2,2,5,1,5,4,6,1,3,7,2,3,4,3,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,1,2,3,8,0,7,0,2,6,0,3,2,5,3,2,2,5,2,0,0,3,3,2,2,0,0,7,0,5,4,6,0,3,7,2,3,2,5,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1,3,3,2,1,6,2,2,8,0,1,1,2,6,4,3,2,5,1,0,2,2,1,4,2,1,3,0,2,7,6,3,1,4,5,1,1,5,3,0,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,1,2,5,6,1,6,1,2,5,1,4,4,3,2,2,5,3,1,0,0,6,1,2,1,2,3,4,2,8,1,6,1,3,4,5,5,3,1,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0
25,1,2,5,6,1,5,1,2,6,1,3,5,4,1,1,5,4,3,1,1,2,3,1,2,2,2,3,2,6,3,6,0,3,6,3,3,5,2,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,1,2,3,8,1,4,1,4,6,2,3,3,4,3,1,4,5,1,1,0,3,2,4,1,2,2,5,1,5,4,6,1,3,7,2,3,4,3,1,0,471,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
